Removed Member From Class: ClassName=一体板1 Member=JTAG1
Added Pin To Net: NetName=NetC19_2 Pin=D4-2
Added Pin To Net: NetName=+12V Pin=D5-1
Added Pin To Net: NetName=R_AHB Pin=D5-2
Added Pin To Net: NetName=NetD6_1 Pin=D6-1
Added Pin To Net: NetName=12V Pin=D6-2
Added Pin To Net: NetName=NetD7_2 Pin=D7-2
Added Pin To Net: NetName=R_BLO Pin=D8-1
Added Pin To Net: NetName=NetD8_2 Pin=D8-2
Added Pin To Net: NetName=+12V Pin=D9-1
Added Pin To Net: NetName=L_AHB Pin=D9-2
Added Pin To Net: NetName=NetD10_2 Pin=D10-2
Added Pin To Net: NetName=L_BLO Pin=D11-1
Added Pin To Net: NetName=NetD11_2 Pin=D11-2
Added Pin To Net: NetName=NetD12_1 Pin=D12-1
Added Pin To Net: NetName=M_7.2 Pin=D12-2
Added Pin To Net: NetName=PGND2 Pin=D13-1
Added Pin To Net: NetName=NetD12_1 Pin=D13-2
Added Pin To Net: NetName=NetD14_1 Pin=D14-1
Added Pin To Net: NetName=M_7.2 Pin=D14-2
Added Pin To Net: NetName=PGND1 Pin=D15-1
Added Pin To Net: NetName=NetD14_1 Pin=D15-2
Added Pin To Net: NetName=R_AHO Pin=D16-1
Added Pin To Net: NetName=NetD16_2 Pin=D16-2
Added Pin To Net: NetName=R_ALO Pin=D17-1
Added Pin To Net: NetName=NetD17_2 Pin=D17-2
Added Pin To Net: NetName=L_AHO Pin=D18-1
Added Pin To Net: NetName=NetD18_2 Pin=D18-2
Added Pin To Net: NetName=L_ALO Pin=D19-1
Added Pin To Net: NetName=NetD19_2 Pin=D19-2
Added Pin To Net: NetName=NetD20_1 Pin=D20-1
Added Pin To Net: NetName=M_7.2 Pin=D20-2
Added Pin To Net: NetName=PGND2 Pin=D21-1
Added Pin To Net: NetName=NetD20_1 Pin=D21-2
Added Pin To Net: NetName=NetD22_1 Pin=D22-1
Added Pin To Net: NetName=M_7.2 Pin=D22-2
Added Pin To Net: NetName=PGND1 Pin=D23-1
Added Pin To Net: NetName=NetD22_1 Pin=D23-2
Added Pin To Net: NetName=AGND Pin=D-G1-1
Added Pin To Net: NetName=GND Pin=D-G1-2
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=5V Pin=F1-2
Added Pin To Net: NetName=GND Pin=H1-1
Added Pin To Net: NetName=VDD Pin=H1-2
Added Pin To Net: NetName=B2 Pin=H1-3
Added Pin To Net: NetName=B3 Pin=H1-4
Added Pin To Net: NetName=B1 Pin=H1-5
Added Pin To Net: NetName=B0 Pin=H1-6
Added Pin To Net: NetName=VDD Pin=H2-1
Added Pin To Net: NetName=GND Pin=H2-2
Added Pin To Net: NetName=RX Pin=H2-3
Added Pin To Net: NetName=TX Pin=H2-4
Added Pin To Net: NetName=GND Pin=JP45-1
Added Pin To Net: NetName=I6 Pin=JP45-2
Added Pin To Net: NetName=GND Pin=JP-1
Added Pin To Net: NetName=SWD_CLK Pin=JP-2
Added Pin To Net: NetName=SWD_DIO Pin=JP-3
Added Pin To Net: NetName=VDD Pin=JP-4
Added Pin To Net: NetName=NetK1_1 Pin=K1-1
Added Pin To Net: NetName=7.2V Pin=K1-2
Added Pin To Net: NetName=A_0 Pin=K2-1
Added Pin To Net: NetName=A_1 Pin=K2-2
Added Pin To Net: NetName=A_2 Pin=K2-3
Added Pin To Net: NetName=A_3 Pin=K2-4
Added Pin To Net: NetName=A_4 Pin=K2-5
Added Pin To Net: NetName=AGND Pin=K2-6
Added Pin To Net: NetName=M_7,2 Pin=K3-1
Added Pin To Net: NetName=7.2V Pin=K3-2
Added Pin To Net: NetName=RESET Pin=K4-1
Added Pin To Net: NetName=GND Pin=K4-2
Added Pin To Net: NetName=D1 Pin=KEA1-1
Added Pin To Net: NetName=D0 Pin=KEA1-2
Added Pin To Net: NetName=H7 Pin=KEA1-3
Added Pin To Net: NetName=H6 Pin=KEA1-4
Added Pin To Net: NetName=H5 Pin=KEA1-5
Added Pin To Net: NetName=FTM1_PIN Pin=KEA1-6
Added Pin To Net: NetName=FTM1_IO Pin=KEA1-7
Added Pin To Net: NetName=VDD Pin=KEA1-8
Added Pin To Net: NetName=NetC1_2 Pin=KEA1-9
Added Pin To Net: NetName=NetC1_2 Pin=KEA1-10
Added Pin To Net: NetName=GND Pin=KEA1-11
Added Pin To Net: NetName=GND Pin=KEA1-12
Added Pin To Net: NetName=EXTAL Pin=KEA1-13
Added Pin To Net: NetName=XTAL Pin=KEA1-14
Added Pin To Net: NetName=I4 Pin=KEA1-15
Added Pin To Net: NetName=TX Pin=KEA1-16
Added Pin To Net: NetName=RX Pin=KEA1-17
Added Pin To Net: NetName=FQM Pin=KEA1-18
Added Pin To Net: NetName=H0 Pin=KEA1-19
Added Pin To Net: NetName=E6 Pin=KEA1-20
Added Pin To Net: NetName=E5 Pin=KEA1-21
Added Pin To Net: NetName=B5 Pin=KEA1-22
Added Pin To Net: NetName=B4 Pin=KEA1-23
Added Pin To Net: NetName=C3 Pin=KEA1-24
Added Pin To Net: NetName=C2 Pin=KEA1-25
Added Pin To Net: NetName=A_4 Pin=KEA1-26
Added Pin To Net: NetName=D6 Pin=KEA1-27
Added Pin To Net: NetName=A_2 Pin=KEA1-28
Added Pin To Net: NetName=I6 Pin=KEA1-29
Added Pin To Net: NetName=A_1 Pin=KEA1-30
Added Pin To Net: NetName=A_0 Pin=KEA1-31
Added Pin To Net: NetName=C0 Pin=KEA1-32
Added Pin To Net: NetName=H4 Pin=KEA1-33
Added Pin To Net: NetName=A_3 Pin=KEA1-34
Added Pin To Net: NetName=ADC0_SE15 Pin=KEA1-35
Added Pin To Net: NetName=ADC0_SE14 Pin=KEA1-36
Added Pin To Net: NetName=ADC0_SE13 Pin=KEA1-37
Added Pin To Net: NetName=ADC0_SE12 Pin=KEA1-38
Added Pin To Net: NetName=B3 Pin=KEA1-39
Added Pin To Net: NetName=B2 Pin=KEA1-40
Added Pin To Net: NetName=B1 Pin=KEA1-41
Added Pin To Net: NetName=B0 Pin=KEA1-42
Added Pin To Net: NetName=F3 Pin=KEA1-43
Added Pin To Net: NetName=F2 Pin=KEA1-44
Added Pin To Net: NetName=ADC0_SE3 Pin=KEA1-45
Added Pin To Net: NetName=ADC0_SE2 Pin=KEA1-46
Added Pin To Net: NetName=E4 Pin=KEA1-47
Added Pin To Net: NetName=GND Pin=KEA1-48
Added Pin To Net: NetName=VDD Pin=KEA1-49
Added Pin To Net: NetName=TPM2_CH4 Pin=KEA1-50
Added Pin To Net: NetName=TPM2_CH3 Pin=KEA1-51
Added Pin To Net: NetName=TPM2_CH2 Pin=KEA1-52
Added Pin To Net: NetName=TPM2_CH1 Pin=KEA1-53
Added Pin To Net: NetName=F1 Pin=KEA1-54
Added Pin To Net: NetName=F0 Pin=KEA1-55
Added Pin To Net: NetName=D4 Pin=KEA1-56
Added Pin To Net: NetName=D3 Pin=KEA1-57
Added Pin To Net: NetName=D2 Pin=KEA1-58
Added Pin To Net: NetName=A3 Pin=KEA1-59
Added Pin To Net: NetName=A2 Pin=KEA1-60
Added Pin To Net: NetName=A1 Pin=KEA1-61
Added Pin To Net: NetName=A0 Pin=KEA1-62
Added Pin To Net: NetName=C7 Pin=KEA1-63
Added Pin To Net: NetName=C6 Pin=KEA1-64
Added Pin To Net: NetName=I3 Pin=KEA1-65
Added Pin To Net: NetName=I2 Pin=KEA1-66
Added Pin To Net: NetName=E3 Pin=KEA1-67
Added Pin To Net: NetName=E2 Pin=KEA1-68
Added Pin To Net: NetName=GND Pin=KEA1-69
Added Pin To Net: NetName=VDD Pin=KEA1-70
Added Pin To Net: NetName=B_4 Pin=KEA1-71
Added Pin To Net: NetName=B_3 Pin=KEA1-72
Added Pin To Net: NetName=B_2 Pin=KEA1-73
Added Pin To Net: NetName=B_1 Pin=KEA1-74
Added Pin To Net: NetName=FTM0_IO Pin=KEA1-75
Added Pin To Net: NetName=FTM0_PIN Pin=KEA1-76
Added Pin To Net: NetName=C5 Pin=KEA1-77
Added Pin To Net: NetName=SWD_CLK Pin=KEA1-78
Added Pin To Net: NetName=RESET Pin=KEA1-79
Added Pin To Net: NetName=SWD_DIO Pin=KEA1-80
Added Pin To Net: NetName=NetC1_2 Pin=L1-1
Added Pin To Net: NetName=VDD Pin=L1-2
Added Pin To Net: NetName=NetF1_1 Pin=L2-1
Added Pin To Net: NetName=VDD Pin=L2-2
Added Pin To Net: NetName=NetL3_1 Pin=L3-1
Added Pin To Net: NetName=NetD6_1 Pin=L3-2
Added Pin To Net: NetName=M_7.2 Pin=LED2-1
Added Pin To Net: NetName=NetLED2_2 Pin=LED2-2
Added Pin To Net: NetName=7.2V Pin=LED\-1
Added Pin To Net: NetName=NetLED\_2 Pin=LED\-2
Added Pin To Net: NetName=NetK1_1 Pin=P1-1
Added Pin To Net: NetName=GND Pin=P1-2
Added Pin To Net: NetName=DGND Pin=P2-1
Added Pin To Net: NetName=B_5V Pin=P2-2
Added Pin To Net: NetName=FTM1_PIN Pin=P2-3
Added Pin To Net: NetName=FTM1_IO Pin=P2-4
Added Pin To Net: NetName=DGND Pin=P4-1
Added Pin To Net: NetName=B_5V Pin=P4-2
Added Pin To Net: NetName=FTM0_PIN Pin=P4-3
Added Pin To Net: NetName=FTM0_IO Pin=P4-4
Added Pin To Net: NetName=R_BHS Pin=P5-1
Added Pin To Net: NetName=R_AHS Pin=P6-1
Added Pin To Net: NetName=L_BHS Pin=P7-1
Added Pin To Net: NetName=L_AHS Pin=P8-1
Added Pin To Net: NetName=GND Pin=P_LED1-1
Added Pin To Net: NetName=7.2V Pin=P_LED1-2
Added Pin To Net: NetName=NetPE1_1 Pin=PE1-1
Added Pin To Net: NetName=GND Pin=PE1-2
Added Pin To Net: NetName=NetPE1_1 Pin=R1-1
Added Pin To Net: NetName=VDD Pin=R1-2
Added Pin To Net: NetName=VDD Pin=R2-1
Added Pin To Net: NetName=NetC4_2 Pin=R2-2
Added Pin To Net: NetName=FQM Pin=R3-1
Added Pin To Net: NetName=Net5_2 Pin=R3-2
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=NetLED\_2 Pin=R4-2
Added Pin To Net: NetName=XTAL Pin=R5-1
Added Pin To Net: NetName=EXTAL Pin=R5-2
Added Pin To Net: NetName=SGND Pin=R6-1
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=RESET Pin=R7-1
Added Pin To Net: NetName=VDD Pin=R7-2
Added Pin To Net: NetName=SGND Pin=R8-1
Added Pin To Net: NetName=NetR8_2 Pin=R8-2
Added Pin To Net: NetName=M_7,2 Pin=R9-1
Added Pin To Net: NetName=NetR9_2 Pin=R9-2
Added Pin To Net: NetName=SGND Pin=R10-1
Added Pin To Net: NetName=NetR10_2 Pin=R10-2
Added Pin To Net: NetName=12V Pin=R11-1
Added Pin To Net: NetName=NetR11_2 Pin=R11-2
Added Pin To Net: NetName=SGND Pin=R12-1
Added Pin To Net: NetName=NetR11_2 Pin=R12-2
Added Pin To Net: NetName=NetR9_2 Pin=R13-1
Added Pin To Net: NetName=NetR13_2 Pin=R13-2
Added Pin To Net: NetName=SGND Pin=R14-1
Added Pin To Net: NetName=NetR14_2 Pin=R14-2
Added Pin To Net: NetName=NetD7_2 Pin=R15-1
Added Pin To Net: NetName=R_BHO Pin=R15-2
Added Pin To Net: NetName=NetD8_2 Pin=R16-1
Added Pin To Net: NetName=R_BLO Pin=R16-2
Added Pin To Net: NetName=R_BHS Pin=R17-1
Added Pin To Net: NetName=NetD7_2 Pin=R17-2
Added Pin To Net: NetName=PGND2 Pin=R18-1
Added Pin To Net: NetName=NetD8_2 Pin=R18-2
Added Pin To Net: NetName=NetD10_2 Pin=R19-1
Added Pin To Net: NetName=L_BHO Pin=R19-2
Added Pin To Net: NetName=NetD11_2 Pin=R20-1
Added Pin To Net: NetName=L_BLO Pin=R20-2
Added Pin To Net: NetName=L_BHS Pin=R21-1
Added Pin To Net: NetName=NetD10_2 Pin=R21-2
Added Pin To Net: NetName=PGND1 Pin=R22-1
Added Pin To Net: NetName=NetD11_2 Pin=R22-2
Added Pin To Net: NetName=GND Pin=R23-1
Added Pin To Net: NetName=PGND2 Pin=R23-2
Added Pin To Net: NetName=GND Pin=R24-1
Added Pin To Net: NetName=SGND Pin=R24-2
Added Pin To Net: NetName=GND Pin=R25-1
Added Pin To Net: NetName=PGND1 Pin=R25-2
Added Pin To Net: NetName=NetD16_2 Pin=R26-1
Added Pin To Net: NetName=R_AHO Pin=R26-2
Added Pin To Net: NetName=NetD17_2 Pin=R27-1
Added Pin To Net: NetName=R_ALO Pin=R27-2
Added Pin To Net: NetName=R_AHS Pin=R28-1
Added Pin To Net: NetName=NetD16_2 Pin=R28-2
Added Pin To Net: NetName=PGND2 Pin=R29-1
Added Pin To Net: NetName=NetD17_2 Pin=R29-2
Added Pin To Net: NetName=NetD18_2 Pin=R30-1
Added Pin To Net: NetName=L_AHO Pin=R30-2
Added Pin To Net: NetName=NetD19_2 Pin=R31-1
Added Pin To Net: NetName=L_ALO Pin=R31-2
Added Pin To Net: NetName=NetLED2_2 Pin=R32-1
Added Pin To Net: NetName=SGND Pin=R32-2
Added Pin To Net: NetName=L_AHS Pin=R33-1
Added Pin To Net: NetName=NetD18_2 Pin=R33-2
Added Pin To Net: NetName=PGND1 Pin=R34-1
Added Pin To Net: NetName=NetD19_2 Pin=R34-2
Added Pin To Net: NetName=SGND Pin=RP1-1
Added Pin To Net: NetName=TPM2_CH1 Pin=RP1-2
Added Pin To Net: NetName=SGND Pin=RP1-3
Added Pin To Net: NetName=TPM2_CH2 Pin=RP1-4
Added Pin To Net: NetName=SGND Pin=RP1-5
Added Pin To Net: NetName=TPM2_CH3 Pin=RP1-6
Added Pin To Net: NetName=SGND Pin=RP1-7
Added Pin To Net: NetName=TPM2_CH4 Pin=RP1-8
Added Pin To Net: NetName=DGND Pin=S1-1
Added Pin To Net: NetName=DGND Pin=S1-2
Added Pin To Net: NetName=DGND Pin=S1-3
Added Pin To Net: NetName=DGND Pin=S1-4
Added Pin To Net: NetName=B_1 Pin=S1-5
Added Pin To Net: NetName=B_2 Pin=S1-6
Added Pin To Net: NetName=B_3 Pin=S1-7
Added Pin To Net: NetName=B_4 Pin=S1-8
Added Pin To Net: NetName=NetD7_2 Pin=T1-1
Added Pin To Net: NetName=M_7.2 Pin=T1-2
Added Pin To Net: NetName=NetT1_3 Pin=T1-3
Added Pin To Net: NetName=NetD8_2 Pin=T2-1
Added Pin To Net: NetName=NetT1_3 Pin=T2-2
Added Pin To Net: NetName=PGND2 Pin=T2-3
Added Pin To Net: NetName=NetD10_2 Pin=T3-1
Added Pin To Net: NetName=M_7.2 Pin=T3-2
Added Pin To Net: NetName=NetT3_3 Pin=T3-3
Added Pin To Net: NetName=NetD11_2 Pin=T4-1
Added Pin To Net: NetName=NetT3_3 Pin=T4-2
Added Pin To Net: NetName=PGND1 Pin=T4-3
Added Pin To Net: NetName=NetD16_2 Pin=T5-1
Added Pin To Net: NetName=M_7.2 Pin=T5-2
Added Pin To Net: NetName=R_AHS Pin=T5-3
Added Pin To Net: NetName=NetD17_2 Pin=T6-1
Added Pin To Net: NetName=R_AHS Pin=T6-2
Added Pin To Net: NetName=PGND2 Pin=T6-3
Added Pin To Net: NetName=NetD18_2 Pin=T7-1
Added Pin To Net: NetName=M_7.2 Pin=T7-2
Added Pin To Net: NetName=L_AHS Pin=T7-3
Added Pin To Net: NetName=NetD19_2 Pin=T8-1
Added Pin To Net: NetName=L_AHS Pin=T8-2
Added Pin To Net: NetName=PGND1 Pin=T8-3
Added Pin To Net: NetName=AGND Pin=U1-1
Added Pin To Net: NetName=AGND Pin=U1-2
Added Pin To Net: NetName=7.2V Pin=U1-3
Added Pin To Net: NetName=7.2V Pin=U1-4
Added Pin To Net: NetName=YUN_5V Pin=U1-5
Added Pin To Net: NetName=YUN_5V Pin=U1-6
Added Pin To Net: NetName=YUN_5V Pin=U1-7
Added Pin To Net: NetName=AGND Pin=U2-1
Added Pin To Net: NetName=AGND Pin=U2-2
Added Pin To Net: NetName=7.2V Pin=U2-3
Added Pin To Net: NetName=7.2V Pin=U2-4
Added Pin To Net: NetName=B_5V Pin=U2-5
Added Pin To Net: NetName=B_5V Pin=U2-6
Added Pin To Net: NetName=B_5V Pin=U2-7
Added Pin To Net: NetName=AGND Pin=U3-1
Added Pin To Net: NetName=AGND Pin=U3-2
Added Pin To Net: NetName=7.2V Pin=U3-3
Added Pin To Net: NetName=7.2V Pin=U3-4
Added Pin To Net: NetName=5V Pin=U3-5
Added Pin To Net: NetName=5V Pin=U3-6
Added Pin To Net: NetName=5V Pin=U3-7
Added Pin To Net: NetName=NetC16_1 Pin=U4-1
Added Pin To Net: NetName=+12V Pin=U4-2
Added Pin To Net: NetName=CH4 Pin=U4-3
Added Pin To Net: NetName=CH5 Pin=U4-4
Added Pin To Net: NetName=NetR6_2 Pin=U4-5
Added Pin To Net: NetName=SGND Pin=U4-6
Added Pin To Net: NetName=+12V Pin=U4-7
Added Pin To Net: NetName=NetR8_2 Pin=U4-8
Added Pin To Net: NetName=R_AHB Pin=U4-9
Added Pin To Net: NetName=R_AHO Pin=U4-10
Added Pin To Net: NetName=R_AHS Pin=U4-11
Added Pin To Net: NetName=+12V Pin=U4-12
Added Pin To Net: NetName=R_ALO Pin=U4-13
Added Pin To Net: NetName=R_BLO Pin=U4-14
Added Pin To Net: NetName=R_BHS Pin=U4-15
Added Pin To Net: NetName=R_BHO Pin=U4-16
Added Pin To Net: NetName=NetC19_2 Pin=U5-1
Added Pin To Net: NetName=+12V Pin=U5-2
Added Pin To Net: NetName=CH2 Pin=U5-3
Added Pin To Net: NetName=CH3 Pin=U5-4
Added Pin To Net: NetName=NetR10_2 Pin=U5-5
Added Pin To Net: NetName=SGND Pin=U5-6
Added Pin To Net: NetName=+12V Pin=U5-7
Added Pin To Net: NetName=NetR14_2 Pin=U5-8
Added Pin To Net: NetName=L_AHB Pin=U5-9
Added Pin To Net: NetName=L_AHO Pin=U5-10
Added Pin To Net: NetName=L_AHS Pin=U5-11
Added Pin To Net: NetName=+12V Pin=U5-12
Added Pin To Net: NetName=L_ALO Pin=U5-13
Added Pin To Net: NetName=L_BLO Pin=U5-14
Added Pin To Net: NetName=L_BHS Pin=U5-15
Added Pin To Net: NetName=L_BHO Pin=U5-16
Added Pin To Net: NetName=NetD6_1 Pin=U6-1
Added Pin To Net: NetName=SGND Pin=U6-2
Added Pin To Net: NetName=NetC20_1 Pin=U6-3
Added Pin To Net: NetName=SGND Pin=U6-4
Added Pin To Net: NetName=NetR11_2 Pin=U6-5
Added Pin To Net: NetName=M_7,2 Pin=U6-6
Added Pin To Net: NetName=NetL3_1 Pin=U6-7
Added Pin To Net: NetName=NetR13_2 Pin=U6-8
Added Pin To Net: NetName=SGND Pin=U7-1
Added Pin To Net: NetName=TPM2_CH1 Pin=U7-2
Added Pin To Net: NetName=TPM2_CH2 Pin=U7-4
Added Pin To Net: NetName=TPM2_CH3 Pin=U7-6
Added Pin To Net: NetName=TPM2_CH4 Pin=U7-8
Added Pin To Net: NetName=SGND Pin=U7-10
Added Pin To Net: NetName=CH5 Pin=U7-12
Added Pin To Net: NetName=CH4 Pin=U7-14
Added Pin To Net: NetName=CH3 Pin=U7-16
Added Pin To Net: NetName=CH2 Pin=U7-18
Added Pin To Net: NetName=B_5V Pin=U7-20
Added Pin To Net: NetName=XTAL Pin=XTAL1-1
Added Pin To Net: NetName=GND Pin=XTAL1-2
Added Pin To Net: NetName=EXTAL Pin=XTAL1-3
Added Pin To Net: NetName=GND Pin=XTAL1-4
Added Member To Class: ClassName=一体板1 Member=Component JP X
Added Room: Name=一体板1
